;INICIO;MEDIOS;FINAL
BLANCOS;Un pato entra a una pastelería.;Le pregunta al panadero, "¿Tiene algo para las plumas secas?.;Le responde, "Sí, te vendo la proteína!"
BLANCOS;Un elefante está jugando al escondite.;Cuando su amigo le encuentra, le dice, "¡Te encontré! ¿Por qué eliges lugares tan grandes?";Le responde, "¡Porque soy un paquidermo de grandes ideas!"
BLANCOS;Un tomate cruzó la carretera.;Volando en una paloma;Le responde, "¡Ketchup seguro!" XD
BLANCOS;Una silla está contando chistes en un bar.;El camarero le dice, "Tus chistes son geniales, ¿de dónde los sacas?";Le responde, "¡Siempre he tenido buenas patas para la comedia!"
BLANCOS;Un pingüino va al mecánico con su coche averiado.;El mecánico le dice, "¿Puedo echarle un vistazo?";Le responde, "Sí, pero apúrate, ¡estoy a punto de tener un derretimiento!"
BLANCOS;Una nube está tomando una siesta.;Un rayo le despierta y le pregunta, "¿Por qué duermes en el trabajo?";Le sonríe y dice, "Solo necesitaba recargar mis baterías."
BLANCOS;Un libro de matemáticas y un diccionario están conversando.;El libro de matemáticas dice, "Soy tan complicado.";Le responde, "No te preocupes, ¡siempre te sumo algo de claridad!"
BLANCOS;Un árbol está preocupado porque no crece.;Un amigo le dice, "Quizás necesitas raíces más fuertes.";Le responde, "¡Eso es solo un problema de arraigamiento!"
BLANCOS;Una zanahoria está haciendo ejercicio.;Un brócoli le pregunta, "¿Por qué te esfuerzas tanto?";¡Un tomate en moto!" XD.
BLANCOS;Un helado está contando chistes en una fiesta.;Un cono de vainilla le dice, "Tus chistes son helados, pero no te derritas.";Le responde, "¡Trato de mantenerme fresco en todo momento!"
VERDES;Un tipo conoció a una chica en un bar.;Van andando juntos, montados en una bicicleta con un pene de asiento; Ella toca la guitarra y el papá la viola
VERDES;En examen oral de historia;El profesor hace la pregunta, quien descubrió el fuego?.;Alguien responde: “pinocho mientras se masturbaba”
VERDES;Un hombre le pregunta a su esposa: porque no me decís cuando llegas al orgasmo.;Con toda la mayonesa adentro ;Le responde: porque no me gusta llamarte cuando esta en el trabajo.
VERDES;Un hombre propuso hacer un trío, cuando;En el estudio de pornografía;Acariciando la calva del lechero
VERDES;Un daltónico cuenta un chiste;Te cuento un chiste verde?;Terminaron volando en un carruaje impulsada por cum de pitufo
VERDES;Una abuela encuentra un condón en la habitación de su nieto;En pleno acto sexual ;Termino en sexo anal
VERDES;Roberto ha acabado adentro;Nadando con pervertidos pulpos;Con la crema en la cara
VERDES;Un travesti mal vestido susurraba;Cuando despertó con un pene en la boca;Terminó en una orgía interracial
VERDES;Un bizco mira el horizonte;Están modelando un conejo con pollera;Terminaron en casa animando hentai
VERDES;Un enano albino cuelga de un árbol;Mientras buscan una verruga en los genitales de la bisabuela;Chupaba una banana
INFORMATICOS;Un QA se reúne con su jefe para hablar de algo urgente;Almuerzan  en su oficina;Le terminan dando un aumento de sueldo
INFORMATICOS;Un programador y una programadora;Hacen un build de un juego;No saltaron errores
INFORMATICOS;Una artista y una QA junior;Se ponen de rodillas y ruegan por una semana de licencia;Terminaron jugando al LOL
INFORMATICOS;Un PM y un desarrollador;Tienen una daily;
INFORMATICOS;Un programador junior y una programadora junior;Van a cobrar sus sueldos;Cobran lo mismo
INFORMATICOS;Un manager y sus empleados;Están en la sala de reuniones;Terminan durando menos de diez minutos
INFORMATICOS;Un par de artistas 3D;En plena partida de CS2;Con una sola mano
INFORMATICOS;Un artista de VFX y de QA ;;Terminan en el suelo haciendo un emote insano
INFORMATICOS;Dos jugadores de LOL;;Terminan jugando WOW
INFORMATICOS;;Jugando al Minecraft;
NEGROS;Una nutricionista fue a África;Un coche lo esquivó y exclamó: "hijo de put#".;Pensó que si quería decepcionar a dos personas a la vez, podría cenar con sus padres.
NEGROS;El cura hacia un exorcismo ;En silla de ruedas;Terminaron consumiendo “abduzcan”
NEGROS;El gordo de mi amigo peleaba la PC;Se caen de un sexto piso;Termino con una abducción reptiliana
NEGROS;Una niña sin brazos visita a su tío;Viajan montados en un T-rex;
NEGROS;Una astronauta vegana;Cocinó hamburguesas de queso dentro de un agujero negro;Le gustaban los viejos cachondos
NEGROS;Un urólogo inspeccionaba un miembro viril;Mientras el cura enseñaba a rezar a los niños en la habitación;
NEGROS;Una enfermera inyectaba a su paciente;Buceando con ratones trastornados;Terminó en una pelea violenta
NEGROS;Una persona y un argentino;Subastando a niños huérfanos bolivianos;Terminan cobrando en pesos argentinos
NEGROS;Un niño con hambre y un proxeneta se conocen en un bar;Mientras hacían Rally;Chocan con un auto y mueren por una cuchara en el cerebro XD.
NEGROS;Un mexicano con documentos invita a salir a un argentino honesto;cruzan la frontera y saltan el muro rodeado de cocodrilos pedófilos;Terminan en Guatemala rodeados de Umpalumpas
