NEGROS;PERSONAJES;SITUACIÓN;FINAL
NEGROS;Un niño con cáncer y su novio de 50 años ;Caminan por un campo de concentración nazi tomados de las manos ;Se los cojen sin preservativos
NEGROS;Una persona y un argentino ;Están subastando a unos niños huerfanos españoles ;Les pagan en pesos argentinos por sus servicios
NEGROS;Un niño con hambre y un proxeneta se conocen en un bar ;Van andando juntos, montados en una bicicleta sin asiento ;Chocan con un auto y mueren
NEGROS;Un mexicano con documentos invita a salir a un argentino honesto ;Cruzan la frontera y saltan el muro ;Terminan cojiendo en Guatemala.
NEGROS;Un jugador de futbol y una persona que termino la primaria ;Van sentados en un elefante con 5 piernas por una sabana ;Se terminan ba�anadose en leche.
NEGROS;Un abogado m�s garca de lo habitual y un mono en un monociclo ;Van a un evento de degustaci�n para catar penes ;Se encuentran a sus padres cojiendose entre ellos.
NEGROS;Un pedofilo que no se llama Kevin Spacey está con su camigo Robert Kelly ;Caminan por un parque mientras ven unos niños sabrosos jugar ;Eyaculan en sus pantalones.
VERDES;Un elefante y un colorado;Caminan por una playa nudista ;Mientras se jalan sus trompas
VERDES;Dos viejas de 40 años ;Entran a un café y piden que les hagan un café según su gusto en hombres ;Se terminan tragando dos litros negros y calientes de caf� obviamente
VERDES;Una chica blanca y una chica negra ;Van y piden comida a un a un restaurante ;Se terminan comiendo un pancho y una pildorita
VERDES;Una pareja de casados ;Están pelados y sedientos de sexos ;Uno se masturba con el vidette el otro con con su hermano
VERDES;Dos travestis alzados ;Van de vacaciones a pais tercermundista llamado Alabama ;Aparece un cura y se los coje
VERDES;Un chico que juega al LOL y un chico que no es virgen ;Van a fiesta sadomasoquista ;Se los termina cojiendo un Jabali en celo
VERDES;Una pareja joven y rubia ;Entran juntos a un sex shop. Piden el juguete que los coja de la manera más dura. ;Terminan metiendose una moneda argentina por el ano
BLANCOS;Una papa y un burro ;Van de paseo en un auto feo ;Se terminan comiendo una torta
BLANCOS;Una torta de vainilla y una torta de chocolate ;Caminan por la playa y ven a una torta frita ;Se la comen toda
BLANCOS;Una yegua y su potro ;Van corriendo juntos por el bosque y comen pasto podrido ;Se terminan desmayando con sus propios pedos
BLANCOS;Un fideo y una milanesa ;Duermen juntos, enroscados entre si ;Se los comen vivos y mueren
BLANCOS;Dos perros cobardes ;En una casa de terror ;Se hacen pis
BLANCOS;Una oveja y una vaca ;Salen a cenar a un restaurante ;Terminan comieeeendo muuuuucho queeeeeso y tragaaando muuucha leeeeeeceheee
BLANCOS;Una labradora y una gata ;Se bañan en una piscina de leche de vaca ;Se terminan lamiendose entre si
BLANCOS;Un lobo y una vagabunda ;Duermen juntos bajo u árbol ;Terinan siendo meados por un perro
BLANCOS;Un plankton y un almeja ;Van andando de noche por la carretera solos ;Un tomate en moto, XD
BLANCOS;Una torta y una torta frita ;Pasean por la cocina ;No se como esto termina
INFORMATICOS;Un QA se reune con su jefe para hablar de algo urgente ;Almuerzan en su oficina ;Le terminan dando un aumento de sueldo
INFORMATICOS;Una programador y una programadora ;Hacen un build de un juego ;No hubo errores
INFORMATICOS;Una artista y una QA junior ;Se ponen de rodillas y ruegan por una semana de licencia ;Se las dan toda.
INFORMATICOS;Un PM y un desarrollador ;Tienen una daily ;Salió todo bien y nadie se enojó.
INFORMATICOS;Un programador junior y una programadora junior ;Van a cobrar sus sueldos ;Cobran lo mismo
INFORMATICOS;Un manager y sus empleados ;Están en la sala de reuiones ;Terminan durando menos de 10 minutos
INFORMATICOS;Un par de artistas de 3D ;Están modelando un conejo con pollera ;Con una sola mano 
INFORMATICOS;Dos chicas ;Juegan al LOL ;Termina siendo una experiencia sana y pacifica.
INFORMATICOS;Un artista de VFX y un QA ;Se caen de un sexto piso ;Terminan en el suelo haciendo un emote insano
