;INICIO;SITUACIONES;FINAL
BLANCOS;Dos patos ;Susurraban;Se terminan comiendo una torta
BLANCOS;Una papa y un burro ;Miran el horizonte;Se terminan comiendo un pancho y una pildorita
BLANCOS;Una torta de vainilla y una torta de chocolate ;Están volando en una paloma;Termina siendo una experiencia sana y pacifica.
BLANCOS;Una yegua y su potro ;Viajan montados en un T-rex;Terminan tomando mate en la rambla
BLANCOS;Un pingüino y una foca ;Van al mecánico con su coche averiado;No sé como termina
BLANCOS;Dos perros cobardes ;Van de paseo en un auto feo ;Terminan siendo meados por un perro
BLANCOS;Un libro de matemáticas y un diccionario ;Están conversando;Salió todo bien y nadie se enojo =)
BLANCOS;Un lobo y una vagabunda ;En una casa de terror ;Se caen de un sexto piso 
BLANCOS;Una oveja y una vaca ;Salen a cenar a un restaurante ;¡Un tomate en moto!" XD.
BLANCOS;Una torta y una torta frita ;Se bañan en una piscina de leche de vaca ;Termino en un futbol 5 con los pibardos del barrio
VERDES;Un tipo conoció a una chica en un bar.;Van andando juntos, montados en una bicicleta con un pene de asiento;Se encuentran a sus padres cojiendose entre ellos.
VERDES;Dos viejas de 40 años ;El profesor hace la pregunta, quien descubrió el fuego?;Alguien responde: “pinocho mientras se masturbaba”
VERDES;Un hombre y su esposa;Caminan por una playa nudista ;Aparece un cura y se los coje
VERDES;Una chica blanca y una chica negra ;En el estudio de pornografía;Terminan acariciando la calva del lechero
VERDES;Un chico que juega al LOL y un chico que no es virgen ;Les gustan los viejos cachondos;Terminaron volando en un carruaje impulsada por cum de pitufo
VERDES;Una abuela y su nieto;En pleno acto sexual ;Terminaron recibiendo sexo anal
VERDES;Roberto y un amigo;Encuentran un condón en el techo del auto;Se los cojen sin preservativos
VERDES;Un travesti mal vestido y su novio Ricardo ;Están pelados y sedientos de sexo;Terminó en una orgía interracial
VERDES;Un bizco y un enano albino ;Entran juntos a un sex shop. ;Terminaron en casa animando hentai
VERDES;Una pareja joven y rubia ;Buscan una verruga en los genitales de la bisabuela;Se los termina cojiendo un Jabalí en celo
INFORMATICOS;Un QA se reúne con su jefe para hablar de algo urgente;Almuerzan  en su oficina;Les terminan dando un aumento de sueldo
INFORMATICOS;Un programador y una programadora;Hacen un build de un juego;No saltaron errores
INFORMATICOS;Una artista y una QA junior;Se ponen de rodillas y ruegan por una semana de licencia;Terminaron jugando al LOL
INFORMATICOS;Un PM y un desarrollador;Tienen una daily;Fueron a programar a una JAM
INFORMATICOS;Un programador junior y una programadora junior;Van a cobrar sus sueldos;Cobran lo mismo
INFORMATICOS;Un manager y sus empleados;Están en la sala de reuniones;Les exploto la PC
INFORMATICOS;Un par de artistas 3D;En plena partida de CS2;No lo descargaron porque ya lo tenian
INFORMATICOS;Un artista de VFX y de QA ; se conocen en un bar;Terminan en el suelo haciendo un emote insano
INFORMATICOS;Dos jugadores de LOL;Borraron system32;Terminan jugando WOW
INFORMATICOS;El CEO de una empresa y su ardilla voladora ;Juegan al Minecraft;Compran loot boxes
NEGROS;Dos nutricionistas veganas;Viajaron a África ;Mueren de sobredosis
NEGROS;Un niño con cáncer y su novio de 50 años ;En silla de ruedas;Terminaron consumiendo “abduzcan”
NEGROS;Un jugador de futbol y una persona que termino la primaria ;Se caen de un sexto piso;Terminaron abducidos por reptilianos
NEGROS;Una niña sin brazos visita a su tío;Caminan por un campo de concentración nazi tomados de las manos ;Chocan con un auto y mueren
NEGROS;Un pedófilo que no se llama Kevin Spacey está con su amigo Robert Kelly ;Cocinó hamburguesas de queso dentro de un agujero negro;Al final les amputaron las piernas
NEGROS;Dos urólogos inspeccionaban un miembro viril;Enseñaban a rezar a los niños en la habitación;Y el mellado exclamo "pañame ña ñal ñupa ñija"
NEGROS;Una enfermera inyectaba a su paciente;Buceando con ratones trastornados;Terminó en una pelea violenta
NEGROS;Una persona y un argentino;Subastan niños huérfanos bolivianos;Terminan cobrando en pesos argentinos
NEGROS;Un niño con hambre y un proxeneta;Cruzan la frontera y saltan el muro ;Chocan con un auto y mueren por una cuchara en el cerebro XD.
NEGROS;Un mexicano con documentos invita a salir a un argentino honesto;Le chupan los dedos a un leproso;Terminan en Guatemala rodeados de Umpalumpas
